"","orig.ident","sample_id","MajorCellTypes","case"
"BN0635_Pericytes_HC","BN0635_Pericytes_HC","BN0635","Pericytes","HC"
"BN0635_T-Cells_HC","BN0635_T-Cells_HC","BN0635","T_Cells","HC"
"BN0644_Astrocytes_PD","BN0644_Astrocytes_PD","BN0644","Astrocytes","PD"
"BN0644_Endothelial-Cells_PD","BN0644_Endothelial-Cells_PD","BN0644","Endothelial_Cells","PD"
"BN0644_Fibroblast-Like-Cells_PD","BN0644_Fibroblast-Like-Cells_PD","BN0644","Fibroblast_Like_Cells","PD"
"BN0644_GABA-Neurons_PD","BN0644_GABA-Neurons_PD","BN0644","GABA_Neurons","PD"
"BN0644_GLU-Neurons_PD","BN0644_GLU-Neurons_PD","BN0644","GLU_Neurons","PD"
"BN0644_Microglia_PD","BN0644_Microglia_PD","BN0644","Microglia","PD"
"BN0644_Oligodendrocytes_PD","BN0644_Oligodendrocytes_PD","BN0644","Oligodendrocytes","PD"
"BN0644_OPCs_PD","BN0644_OPCs_PD","BN0644","OPCs","PD"
"BN0644_Pericytes_PD","BN0644_Pericytes_PD","BN0644","Pericytes","PD"
"BN0644_T-Cells_PD","BN0644_T-Cells_PD","BN0644","T_Cells","PD"
"BN0651_Astrocytes_PD","BN0651_Astrocytes_PD","BN0651","Astrocytes","PD"
"BN0651_Endothelial-Cells_PD","BN0651_Endothelial-Cells_PD","BN0651","Endothelial_Cells","PD"
"BN0651_Fibroblast-Like-Cells_PD","BN0651_Fibroblast-Like-Cells_PD","BN0651","Fibroblast_Like_Cells","PD"
"BN0651_GABA-Neurons_PD","BN0651_GABA-Neurons_PD","BN0651","GABA_Neurons","PD"
"BN0651_GLU-Neurons_PD","BN0651_GLU-Neurons_PD","BN0651","GLU_Neurons","PD"
"BN0651_Microglia_PD","BN0651_Microglia_PD","BN0651","Microglia","PD"
"BN0651_Oligodendrocytes_PD","BN0651_Oligodendrocytes_PD","BN0651","Oligodendrocytes","PD"
"BN0651_OPCs_PD","BN0651_OPCs_PD","BN0651","OPCs","PD"
"BN0651_Pericytes_PD","BN0651_Pericytes_PD","BN0651","Pericytes","PD"
"BN0651_T-Cells_PD","BN0651_T-Cells_PD","BN0651","T_Cells","PD"
"BN0655_Astrocytes_PD","BN0655_Astrocytes_PD","BN0655","Astrocytes","PD"
"BN0655_Endothelial-Cells_PD","BN0655_Endothelial-Cells_PD","BN0655","Endothelial_Cells","PD"
"BN0655_Fibroblast-Like-Cells_PD","BN0655_Fibroblast-Like-Cells_PD","BN0655","Fibroblast_Like_Cells","PD"
"BN0655_GABA-Neurons_PD","BN0655_GABA-Neurons_PD","BN0655","GABA_Neurons","PD"
"BN0655_GLU-Neurons_PD","BN0655_GLU-Neurons_PD","BN0655","GLU_Neurons","PD"
"BN0655_Microglia_PD","BN0655_Microglia_PD","BN0655","Microglia","PD"
"BN0655_Oligodendrocytes_PD","BN0655_Oligodendrocytes_PD","BN0655","Oligodendrocytes","PD"
"BN0655_OPCs_PD","BN0655_OPCs_PD","BN0655","OPCs","PD"
"BN0655_Pericytes_PD","BN0655_Pericytes_PD","BN0655","Pericytes","PD"
"BN0662_Astrocytes_PD","BN0662_Astrocytes_PD","BN0662","Astrocytes","PD"
"BN0662_Endothelial-Cells_PD","BN0662_Endothelial-Cells_PD","BN0662","Endothelial_Cells","PD"
"BN0662_Fibroblast-Like-Cells_PD","BN0662_Fibroblast-Like-Cells_PD","BN0662","Fibroblast_Like_Cells","PD"
"BN0662_GABA-Neurons_PD","BN0662_GABA-Neurons_PD","BN0662","GABA_Neurons","PD"
"BN0662_GLU-Neurons_PD","BN0662_GLU-Neurons_PD","BN0662","GLU_Neurons","PD"
"BN0662_Microglia_PD","BN0662_Microglia_PD","BN0662","Microglia","PD"
"BN0662_Oligodendrocytes_PD","BN0662_Oligodendrocytes_PD","BN0662","Oligodendrocytes","PD"
"BN0662_OPCs_PD","BN0662_OPCs_PD","BN0662","OPCs","PD"
"BN0662_Pericytes_PD","BN0662_Pericytes_PD","BN0662","Pericytes","PD"
"BN0662_T-Cells_PD","BN0662_T-Cells_PD","BN0662","T_Cells","PD"
"BN0704_Astrocytes_HC","BN0704_Astrocytes_HC","BN0704","Astrocytes","HC"
"BN0704_Endothelial-Cells_HC","BN0704_Endothelial-Cells_HC","BN0704","Endothelial_Cells","HC"
"BN0704_Fibroblast-Like-Cells_HC","BN0704_Fibroblast-Like-Cells_HC","BN0704","Fibroblast_Like_Cells","HC"
"BN0704_GABA-Neurons_HC","BN0704_GABA-Neurons_HC","BN0704","GABA_Neurons","HC"
"BN0704_GLU-Neurons_HC","BN0704_GLU-Neurons_HC","BN0704","GLU_Neurons","HC"
"BN0704_Microglia_HC","BN0704_Microglia_HC","BN0704","Microglia","HC"
"BN0704_Oligodendrocytes_HC","BN0704_Oligodendrocytes_HC","BN0704","Oligodendrocytes","HC"
"BN0704_OPCs_HC","BN0704_OPCs_HC","BN0704","OPCs","HC"
"BN0704_Pericytes_HC","BN0704_Pericytes_HC","BN0704","Pericytes","HC"
"BN0704_T-Cells_HC","BN0704_T-Cells_HC","BN0704","T_Cells","HC"
"BN0737_Astrocytes_HC","BN0737_Astrocytes_HC","BN0737","Astrocytes","HC"
"BN0737_Endothelial-Cells_HC","BN0737_Endothelial-Cells_HC","BN0737","Endothelial_Cells","HC"
"BN0737_Fibroblast-Like-Cells_HC","BN0737_Fibroblast-Like-Cells_HC","BN0737","Fibroblast_Like_Cells","HC"
"BN0737_GABA-Neurons_HC","BN0737_GABA-Neurons_HC","BN0737","GABA_Neurons","HC"
"BN0737_GLU-Neurons_HC","BN0737_GLU-Neurons_HC","BN0737","GLU_Neurons","HC"
"BN0737_Microglia_HC","BN0737_Microglia_HC","BN0737","Microglia","HC"
"BN0737_Oligodendrocytes_HC","BN0737_Oligodendrocytes_HC","BN0737","Oligodendrocytes","HC"
"BN0737_OPCs_HC","BN0737_OPCs_HC","BN0737","OPCs","HC"
"BN0737_Pericytes_HC","BN0737_Pericytes_HC","BN0737","Pericytes","HC"
"BN0737_T-Cells_HC","BN0737_T-Cells_HC","BN0737","T_Cells","HC"
"BN0746_Astrocytes_HC","BN0746_Astrocytes_HC","BN0746","Astrocytes","HC"
"BN0746_Endothelial-Cells_HC","BN0746_Endothelial-Cells_HC","BN0746","Endothelial_Cells","HC"
"BN0746_Fibroblast-Like-Cells_HC","BN0746_Fibroblast-Like-Cells_HC","BN0746","Fibroblast_Like_Cells","HC"
"BN0746_GABA-Neurons_HC","BN0746_GABA-Neurons_HC","BN0746","GABA_Neurons","HC"
"BN0746_GLU-Neurons_HC","BN0746_GLU-Neurons_HC","BN0746","GLU_Neurons","HC"
"BN0746_Microglia_HC","BN0746_Microglia_HC","BN0746","Microglia","HC"
"BN0746_Oligodendrocytes_HC","BN0746_Oligodendrocytes_HC","BN0746","Oligodendrocytes","HC"
"BN0746_OPCs_HC","BN0746_OPCs_HC","BN0746","OPCs","HC"
"BN0746_Pericytes_HC","BN0746_Pericytes_HC","BN0746","Pericytes","HC"
"BN0746_T-Cells_HC","BN0746_T-Cells_HC","BN0746","T_Cells","HC"
"BN0855_Astrocytes_HC","BN0855_Astrocytes_HC","BN0855","Astrocytes","HC"
"BN0855_Endothelial-Cells_HC","BN0855_Endothelial-Cells_HC","BN0855","Endothelial_Cells","HC"
"BN0855_Fibroblast-Like-Cells_HC","BN0855_Fibroblast-Like-Cells_HC","BN0855","Fibroblast_Like_Cells","HC"
"BN0855_GABA-Neurons_HC","BN0855_GABA-Neurons_HC","BN0855","GABA_Neurons","HC"
"BN0855_GLU-Neurons_HC","BN0855_GLU-Neurons_HC","BN0855","GLU_Neurons","HC"
"BN0855_Microglia_HC","BN0855_Microglia_HC","BN0855","Microglia","HC"
"BN0855_Oligodendrocytes_HC","BN0855_Oligodendrocytes_HC","BN0855","Oligodendrocytes","HC"
"BN0855_OPCs_HC","BN0855_OPCs_HC","BN0855","OPCs","HC"
"BN0855_Pericytes_HC","BN0855_Pericytes_HC","BN0855","Pericytes","HC"
"BN0855_T-Cells_HC","BN0855_T-Cells_HC","BN0855","T_Cells","HC"
"BN0934_Astrocytes_ILB","BN0934_Astrocytes_ILB","BN0934","Astrocytes","ILB"
"BN0934_Endothelial-Cells_ILB","BN0934_Endothelial-Cells_ILB","BN0934","Endothelial_Cells","ILB"
"BN0934_Fibroblast-Like-Cells_ILB","BN0934_Fibroblast-Like-Cells_ILB","BN0934","Fibroblast_Like_Cells","ILB"
"BN0934_GABA-Neurons_ILB","BN0934_GABA-Neurons_ILB","BN0934","GABA_Neurons","ILB"
"BN0934_GLU-Neurons_ILB","BN0934_GLU-Neurons_ILB","BN0934","GLU_Neurons","ILB"
"BN0934_Microglia_ILB","BN0934_Microglia_ILB","BN0934","Microglia","ILB"
"BN0934_Oligodendrocytes_ILB","BN0934_Oligodendrocytes_ILB","BN0934","Oligodendrocytes","ILB"
"BN0934_OPCs_ILB","BN0934_OPCs_ILB","BN0934","OPCs","ILB"
"BN0934_Pericytes_ILB","BN0934_Pericytes_ILB","BN0934","Pericytes","ILB"
"BN0934_T-Cells_ILB","BN0934_T-Cells_ILB","BN0934","T_Cells","ILB"
"BN0952_Astrocytes_PD","BN0952_Astrocytes_PD","BN0952","Astrocytes","PD"
"BN0952_Endothelial-Cells_PD","BN0952_Endothelial-Cells_PD","BN0952","Endothelial_Cells","PD"
"BN0952_Fibroblast-Like-Cells_PD","BN0952_Fibroblast-Like-Cells_PD","BN0952","Fibroblast_Like_Cells","PD"
"BN0952_GABA-Neurons_PD","BN0952_GABA-Neurons_PD","BN0952","GABA_Neurons","PD"
"BN0952_GLU-Neurons_PD","BN0952_GLU-Neurons_PD","BN0952","GLU_Neurons","PD"
"BN0952_Microglia_PD","BN0952_Microglia_PD","BN0952","Microglia","PD"
"BN0952_Oligodendrocytes_PD","BN0952_Oligodendrocytes_PD","BN0952","Oligodendrocytes","PD"
"BN0952_OPCs_PD","BN0952_OPCs_PD","BN0952","OPCs","PD"
"BN0952_Pericytes_PD","BN0952_Pericytes_PD","BN0952","Pericytes","PD"
"BN0952_T-Cells_PD","BN0952_T-Cells_PD","BN0952","T_Cells","PD"
"BN1022_Astrocytes_HC","BN1022_Astrocytes_HC","BN1022","Astrocytes","HC"
"BN1022_Endothelial-Cells_HC","BN1022_Endothelial-Cells_HC","BN1022","Endothelial_Cells","HC"
"BN1022_Fibroblast-Like-Cells_HC","BN1022_Fibroblast-Like-Cells_HC","BN1022","Fibroblast_Like_Cells","HC"
"BN1022_GABA-Neurons_HC","BN1022_GABA-Neurons_HC","BN1022","GABA_Neurons","HC"
"BN1022_GLU-Neurons_HC","BN1022_GLU-Neurons_HC","BN1022","GLU_Neurons","HC"
"BN1022_Microglia_HC","BN1022_Microglia_HC","BN1022","Microglia","HC"
"BN1022_Oligodendrocytes_HC","BN1022_Oligodendrocytes_HC","BN1022","Oligodendrocytes","HC"
"BN1022_OPCs_HC","BN1022_OPCs_HC","BN1022","OPCs","HC"
"BN1022_Pericytes_HC","BN1022_Pericytes_HC","BN1022","Pericytes","HC"
"BN1022_T-Cells_HC","BN1022_T-Cells_HC","BN1022","T_Cells","HC"
"BN1076_Astrocytes_PD","BN1076_Astrocytes_PD","BN1076","Astrocytes","PD"
"BN1076_Endothelial-Cells_PD","BN1076_Endothelial-Cells_PD","BN1076","Endothelial_Cells","PD"
"BN1076_Fibroblast-Like-Cells_PD","BN1076_Fibroblast-Like-Cells_PD","BN1076","Fibroblast_Like_Cells","PD"
"BN1076_GABA-Neurons_PD","BN1076_GABA-Neurons_PD","BN1076","GABA_Neurons","PD"
"BN1076_GLU-Neurons_PD","BN1076_GLU-Neurons_PD","BN1076","GLU_Neurons","PD"
"BN1076_Microglia_PD","BN1076_Microglia_PD","BN1076","Microglia","PD"
"BN1076_Oligodendrocytes_PD","BN1076_Oligodendrocytes_PD","BN1076","Oligodendrocytes","PD"
"BN1076_OPCs_PD","BN1076_OPCs_PD","BN1076","OPCs","PD"
"BN1076_Pericytes_PD","BN1076_Pericytes_PD","BN1076","Pericytes","PD"
"BN1076_T-Cells_PD","BN1076_T-Cells_PD","BN1076","T_Cells","PD"
"BN1128_Astrocytes_ILB","BN1128_Astrocytes_ILB","BN1128","Astrocytes","ILB"
"BN1128_Endothelial-Cells_ILB","BN1128_Endothelial-Cells_ILB","BN1128","Endothelial_Cells","ILB"
"BN1128_Fibroblast-Like-Cells_ILB","BN1128_Fibroblast-Like-Cells_ILB","BN1128","Fibroblast_Like_Cells","ILB"
"BN1128_GABA-Neurons_ILB","BN1128_GABA-Neurons_ILB","BN1128","GABA_Neurons","ILB"
"BN1128_GLU-Neurons_ILB","BN1128_GLU-Neurons_ILB","BN1128","GLU_Neurons","ILB"
"BN1128_Microglia_ILB","BN1128_Microglia_ILB","BN1128","Microglia","ILB"
"BN1128_Oligodendrocytes_ILB","BN1128_Oligodendrocytes_ILB","BN1128","Oligodendrocytes","ILB"
"BN1128_OPCs_ILB","BN1128_OPCs_ILB","BN1128","OPCs","ILB"
"BN1128_Pericytes_ILB","BN1128_Pericytes_ILB","BN1128","Pericytes","ILB"
"BN1128_T-Cells_ILB","BN1128_T-Cells_ILB","BN1128","T_Cells","ILB"
"BN1144_Astrocytes_HC","BN1144_Astrocytes_HC","BN1144","Astrocytes","HC"
"BN1144_Endothelial-Cells_HC","BN1144_Endothelial-Cells_HC","BN1144","Endothelial_Cells","HC"
"BN1144_Fibroblast-Like-Cells_HC","BN1144_Fibroblast-Like-Cells_HC","BN1144","Fibroblast_Like_Cells","HC"
"BN1144_GABA-Neurons_HC","BN1144_GABA-Neurons_HC","BN1144","GABA_Neurons","HC"
"BN1144_GLU-Neurons_HC","BN1144_GLU-Neurons_HC","BN1144","GLU_Neurons","HC"
"BN1144_Microglia_HC","BN1144_Microglia_HC","BN1144","Microglia","HC"
"BN1144_Oligodendrocytes_HC","BN1144_Oligodendrocytes_HC","BN1144","Oligodendrocytes","HC"
"BN1144_OPCs_HC","BN1144_OPCs_HC","BN1144","OPCs","HC"
"BN1144_Pericytes_HC","BN1144_Pericytes_HC","BN1144","Pericytes","HC"
"BN1144_T-Cells_HC","BN1144_T-Cells_HC","BN1144","T_Cells","HC"
"BN1160_Astrocytes_ILB","BN1160_Astrocytes_ILB","BN1160","Astrocytes","ILB"
"BN1160_Endothelial-Cells_ILB","BN1160_Endothelial-Cells_ILB","BN1160","Endothelial_Cells","ILB"
"BN1160_Fibroblast-Like-Cells_ILB","BN1160_Fibroblast-Like-Cells_ILB","BN1160","Fibroblast_Like_Cells","ILB"
"BN1160_GABA-Neurons_ILB","BN1160_GABA-Neurons_ILB","BN1160","GABA_Neurons","ILB"
"BN1160_GLU-Neurons_ILB","BN1160_GLU-Neurons_ILB","BN1160","GLU_Neurons","ILB"
"BN1160_Microglia_ILB","BN1160_Microglia_ILB","BN1160","Microglia","ILB"
