p_val,avg_log2FC,pct.1,pct.2,p_val_adj
0.0001319986868982,-0.198847256964337,1,1,1
0.0001319986868982,0.523661821307021,1,1,1
0.0001319986868982,-0.246996089626792,1,1,1
0.0001319986868982,-0.369386072669013,1,1,1
0.000139225405026359,0.326581968381713,1,1,1
0.000139225405026359,-0.455122767356595,1,1,1
0.000139225405026359,-0.369927900626204,1,1,1
0.000146823626138651,-0.570418780953667,1,1,1
0.000146823626138651,-0.470737599707265,1,1,1
0.000146823626138651,0.509822925646675,1,1,1
0.000146823626138651,-0.169763812326641,1,1,1
0.000153912735351852,-0.154175564480859,0.943,0.867,1
0.00016309847638497,-0.407308601800891,0.914,1,1
0.00016317926783133,-0.313185634907116,0.943,1,1
0.000163206204913918,-0.169406578346982,1,0.967,1
0.000163206204913918,0.225693026688153,1,1,1
0.000163206204913918,-0.327393346998733,1,1,1
0.000163206204913918,-0.243064782711782,1,1,1
0.000163206204913918,0.436004325299014,1,1,1
0.000167535091883034,-0.144862369694179,0.971,0.967,1
0.000169473308106426,-0.236004809156504,0.429,0.8,1
0.000172000122934195,-0.287444058450906,0.943,1,1
0.000172028328849422,-0.135218169840562,0.971,1,1
0.000172028328849422,-0.252458044092779,0.971,1,1
0.000172028328849422,0.778987082809961,1,1,1
0.000172028328849422,-0.469357077096312,1,1,1
0.000172028328849422,0.431010566829244,1,1,1
0.000172028328849422,-0.3338383353526,1,1,1
0.000172028328849422,0.201700815521734,1,1,1
0.000180357559815875,-0.231599846058582,0.4,0.767,1
0.000181268019185349,-0.27238263392717,0.943,1,1
0.000181297548223663,0.126954256745613,1,1,1
0.000181297548223663,-0.345053269185005,1,1,1
0.000181297548223663,-0.469238365043604,1,1,1
0.000181297548223663,0.55588890570626,1,1,1
0.000182962162952057,-0.23297552461904,0.343,0.767,1
0.000189955229901805,-0.271773705645471,0.829,1,1
0.000191034835104763,-0.317018749038434,1,1,1
0.000191034835104763,-0.311515128688541,1,1,1
0.000191034835104763,-0.285830056575338,1,1,1
0.000191034835104763,-0.313562716361222,1,1,1
0.000191034835104763,-0.405954801033121,1,1,1
0.000191034835104763,-0.27061339543022,1,1,1
0.000192412347199849,-0.23217754387554,0.371,0.767,1
0.000195595871812022,-0.242058114527288,0.543,0.9,1
0.000197007923139863,-0.233954073663602,0.657,0.933,1
0.000199725314570568,-0.176768538410436,0.771,0.433,1
0.00020113269180534,-0.316714280682005,0.914,1,1
0.000201262054409442,0.109997931963263,1,1,1
0.000201262054409442,0.255514055348038,1,1,1
0.000201262054409442,0.650032755272877,1,1,1
0.000201262054409442,-0.433357654530349,1,1,1
0.000201262054409442,0.412408856010133,1,1,1
0.000206235769802953,-0.138245111729209,0.971,0.9,1
0.000212001997265013,-0.276989424343253,1,1,1
0.000212001997265013,0.191945407851144,1,1,1
0.000212001997265013,-0.343241797765907,1,1,1
0.000212001997265013,-0.502610651786906,1,1,1
0.000212001997265013,0.243513360338947,1,1,1
0.000212001997265013,-0.365270878711737,1,1,1
0.000212001997265013,-0.313344342154469,1,1,1
0.000212001997265013,0.258567935602844,1,1,1
0.000215601396467317,-0.233555280716753,0.343,0.733,1
0.000223207064645189,-0.271991461933475,0.743,0.967,1
0.000223278415392434,-0.387869563719723,0.971,1,1
0.000223278415392434,-0.377101603369442,1,1,1
0.000223278415392434,-0.207931771694732,1,1,1
0.000223278415392434,-0.309088101445343,1,1,1
0.000223278415392434,-0.318628555663846,1,1,1
0.000223278415392434,-0.171931313858652,1,1,1
0.000233822444281804,-0.322213875360415,0.829,1,1
0.000235116056531219,0.567199101516923,1,1,1
0.000235116056531219,-0.413961972827936,1,1,1
0.000235116056531219,-0.38641880603228,1,1,1
0.000235116056531219,-0.271246022694165,1,1,1
0.000235116056531219,0.230263819362816,1,1,1
0.000235116056531219,-0.358751602863057,1,1,1
0.000235116056531219,-0.331975749116804,1,1,1
0.00023622366234428,-0.234257028915601,0.314,0.7,1
0.000247153632363953,-0.324570456369396,0.886,1,1
0.000247540700926885,-0.229058115097816,1,1,1
0.000247540700926885,0.794634446365897,1,1,1
0.000247540700926885,-0.282176548615904,1,1,1
0.000247540700926885,0.125169211415517,1,1,1
0.000247540700926885,-0.23344406385928,1,1,1
0.000247540700926885,-0.478607107159016,1,1,1
0.000260417263651232,-0.519705600485724,0.914,1,1
0.000260579198901563,-0.312010779481435,0.971,1,1
0.000260579198901563,-0.254734000857862,1,1,1
0.000260579198901563,-0.490548835809233,1,1,1
0.000260579198901563,-0.185475087009834,1,1,1
0.000260579198901563,0.420046931219163,1,1,1
0.000260579198901563,-0.335104959697501,1,1,1
0.000260579198901563,0.328112393641641,1,1,1
0.000260579198901563,0.255889783480557,1,1,1
0.000260579198901563,-0.328903715900063,1,1,1
0.000260579198901563,-0.293214440752431,1,1,1
0.000274217182435539,-0.304612269721134,0.943,1,1
0.000274259509528245,-0.266541916600861,0.971,1,1
0.000274259509528245,-0.39511411083864,0.971,1,1
0.000274259509528245,-0.477218276863871,1,1,1
0.000274259509528245,-0.378956390719347,1,1,1
0.000274259509528245,0.144939891991483,1,1,1
0.000274259509528245,-0.299194849240522,1,1,1
0.000274259509528245,-0.471298288339798,1,1,1
0.000274259509528245,-0.399019937169006,1,1,1
0.000274259509528245,-0.418078283858537,1,1,1
0.000274259509528245,-0.479995330557357,1,1,1
0.000288433815586751,-0.327519989562774,0.914,1,1
0.000288610740428999,0.151638332008518,1,1,1
0.000288610740428999,-0.412360420407276,1,1,1
0.000288610740428999,0.274132943620391,1,1,1
0.000288610740428999,-0.233534227929657,1,1,1
0.000288610740428999,0.6297335740801,1,1,1
0.000288610740428999,-0.446152031661925,1,1,1
0.000288610740428999,0.516475140623653,1,1,1
0.000288610740428999,0.760934704384933,1,1,1
